Departamentos,Codigo DANE - Depto,Municipio,Codigo DANE - Mpio,Agroforestal (Ha),ConservaciOn de Suelos  (Ha),Ganadera (Ha),Vocacion (0 No hay - 1 hay algo),Predios <10 cab,Predios 11 - 25 cab,Predios 26-50 cab,Predios 51-100 cab,Predios 101-250 cab,Predios 251-500 cab,Predios 501-1000 cab,Predios >1000 cab,Total predios,% predios 11-50 cab,Terneras < 12 Meses,Terneros < 12 Meses,Hembras 12 - 24 Meses,Machos 12 - 24 Meses,Hembras 24 - 36 Meses,Machos 24 - 36 Meses,Hembras > 36 Meses,Machos > 36 Meses,# Machos,% Machos,# Hembras,% Hembras,Total Bovinos - 2017,Total Area sembrada de cultivos agroindustriales (ha),Total Area sembrada de cultivos de plAtano y tubErculos,Total Area sembrada de frutas,Total Area sembrada de cultivos de cereales,"Total Area sembrada en flores, hortalizas, verduras y legumbres, plantas aromaticas y medcinales",Area total sembrada del sector agricola,# Cabezas/ Ha sembrada,Sub-regiOn estratEgica (0-1),Emisiones Sector AgrIcola (Miles de ton CO2 eq),Emisiones Sector Forestal (Miles de ton CO2 eq),Sector Pecuario (Miles de ton CO2 eq),Emisiones Sub-sector Ganadero (Miles de ton CO2 eq),Diferencia Sector pecuario - S-Sec GanaderIa (Miles de ton CO2 eq),Sub-Sec. Gan. / Agri. + Forst.x + Dif S Pec-S Gan (%),Total Emisiones Brutas (Miles de toneladas de CO2 equivalente),Total  Absorciones (Miles toneladas de CO2 equivalente),Balance Municipal (miles Ton/aNo),Absorciones / Emisiones
CUNDINAMARCA,25,QUETAME,25594,2798,402,0,1,286,43,9,2,1,0,0,0,341,0.15,126,193,208,215,237,508,858,171,1087,0.43,1429,0.57,2516,233,324,13,44,114,728,3.5,0,13.3,10.8,3,1.7,1.6,0.07,36.95,-9.19,27.76,0.25
CUNDINAMARCA,25,QUIPILE,25596,3452,0,267,1,305,69,16,2,0,0,0,0,392,0.22,284,351,393,673,294,379,867,172,1575,0.46,1838,0.54,3413,2385,118,949,217,115,3784,0.9,0,5.7,15.3,4,2,2.3,0.09,39.94,-5.8,34.14,0.15
CUNDINAMARCA,25,RICAURTE,25612,2544,0,0,1,38,28,18,11,10,7,0,1,113,0.41,403,512,1011,1409,953,845,1878,400,3166,0.43,4245,0.57,7411,94,0,8,96,5,203,36.6,0,5.2,9.6,10,4.7,5.2,0.23,42.55,-4.97,37.58,0.12
CUNDINAMARCA,25,SAN ANTONIO DEL TEQUENDAMA,25645,2572,0,0,1,309,86,23,7,2,0,0,0,427,0.26,484,506,568,601,430,296,1596,141,1544,0.33,3078,0.67,4622,503,24,215,54,124,920,5,0,0.5,25.6,8,2.9,5.2,0.09,52.22,-1.76,50.46,0.03
CUNDINAMARCA,25,SAN BERNARDO,25649,4659,6706,0,1,275,76,25,7,5,0,0,0,388,0.26,351,338,602,644,561,855,1244,53,1890,0.41,2758,0.59,4648,221,438,529,122,609,1918,2.4,0,12,13.2,7,2.9,3.9,0.1,46.39,-9.11,37.28,0.2
CUNDINAMARCA,25,SAN CAYETANO,25653,3500,797,0,1,229,181,76,26,11,0,0,0,523,0.49,847,734,1868,1117,821,759,4744,173,2783,0.25,8280,0.75,11063,1357,2695,267,186,319,4825,2.3,1,109.9,10.2,12,7.7,4.7,0.06,142.44,-65.82,76.62,0.46
CUNDINAMARCA,25,SAN FRANCISCO,25658,3882,0,0,1,201,91,41,20,10,1,0,0,364,0.36,708,530,899,1121,930,1191,1838,50,2892,0.4,4375,0.6,7267,561,72,252,0,220,1105,6.6,0,5.4,12.8,9,4.3,4.7,0.19,41.5,-5.19,36.31,0.13
CUNDINAMARCA,25,SAN JUAN DE RIOSECO,25662,10673,0,0,1,156,128,66,27,13,2,2,0,394,0.49,1035,1060,1262,1085,1567,857,3791,335,3337,0.3,7655,0.7,10992,2320,156,1174,888,81,4619,2.4,1,17,21.8,14,7,7.2,0.15,67.5,-11.53,55.98,0.17
CUNDINAMARCA,25,SASAIMA,25718,3059,0,0,1,229,58,21,6,2,0,0,0,316,0.25,355,319,414,481,401,224,905,32,1056,0.34,2075,0.66,3131,1075,331,684,35,493,2618,1.2,0,16.3,16.3,14,1.8,12.4,0.04,64.49,-11.21,53.28,0.17
CUNDINAMARCA,25,SESQUILE,25736,1072,268,0,1,396,129,42,28,8,2,0,0,605,0.28,988,324,1727,513,1028,130,5126,50,1017,0.1,8869,0.9,9886,0,245,0,13,95,353,28,0,63.8,18.7,12,7.4,4.5,0.09,114.58,-38.86,75.72,0.34
CUNDINAMARCA,25,SIBATE,25740,3727,0,0,1,368,157,63,25,10,3,0,0,626,0.35,1256,524,1449,674,936,608,4791,408,2214,0.21,8432,0.79,10646,0,1945,49,105,238,2337,4.6,0,78.8,23.2,15,7.5,7.9,0.07,260.24,-47.67,212.57,0.18
CUNDINAMARCA,25,SILVANIA,25743,6557,0,152,1,474,175,63,7,3,1,0,0,723,0.33,700,876,994,1141,467,971,2533,159,3147,0.4,4694,0.6,7841,493,276,569,207,442,1987,3.9,0,4.9,31.1,23,4.8,17.8,0.09,91.95,-4.6,87.35,0.05
CUNDINAMARCA,25,SIMIJACA,25745,2026,0,0,1,747,207,67,40,15,3,2,0,1081,0.25,2078,175,2295,222,2056,81,9943,30,508,0.03,16372,0.97,16880,0,163,29,1167,116,1475,11.4,0,37.9,11.4,17,13.2,3.6,0.25,93.21,-24.01,69.2,0.26
CUNDINAMARCA,25,SOACHA,25754,4416,2007,0,1,150,65,27,11,12,6,2,0,273,0.34,1211,440,1276,485,1120,102,3794,28,1055,0.12,7401,0.88,8456,0,246,15,18,213,492,17.2,1,20.5,14.2,10,5.7,4.1,0.15,928.35,-20.25,908.1,0.02
CUNDINAMARCA,25,SOPO,25758,225,0,0,1,192,59,35,26,29,7,1,0,349,0.27,1923,495,2654,523,1365,253,6352,116,1387,0.1,12294,0.9,13681,0,164,27,97,359,648,21.1,1,0.5,17.9,17,9.6,7.7,0.37,205.51,-2.71,202.79,0.01
CUNDINAMARCA,25,SUBACHOQUE,25769,3279,0,0,1,498,195,121,53,11,1,0,0,879,0.36,1585,842,2344,1371,1763,936,6138,325,3474,0.23,11830,0.77,15304,1,1204,61,492,624,2382,6.4,0,59,18.7,20,10.4,9.9,0.12,123.19,-36.49,86.69,0.3
CUNDINAMARCA,25,SUESCA,25772,2378,160,0,1,636,187,44,19,16,2,2,0,906,0.25,1846,517,1928,515,1032,257,7378,100,1389,0.1,12184,0.9,13573,6,1294,1,98,254,1652,8.2,0,31.6,16.4,22,10,12.1,0.17,99.34,-20.22,79.12,0.2
CUNDINAMARCA,25,SUPATA,25777,3207,0,0,1,263,72,41,20,7,1,0,0,404,0.28,642,391,809,1215,905,895,2285,169,2670,0.37,4641,0.63,7311,952,119,109,98,51,1329,5.5,0,5.5,6.9,11,4.7,6.7,0.25,30.9,-4.77,26.13,0.15
CUNDINAMARCA,25,SUSA,25779,2192,0,0,1,839,169,29,8,3,0,2,0,1050,0.19,1057,289,159,426,1166,124,5427,10,849,0.1,7809,0.9,8658,5,783,2,208,58,1056,8.2,1,42.3,11.1,10,6.8,3,0.12,79.38,-26.25,53.14,0.33
CUNDINAMARCA,25,SUTATAUSA,25781,1565,0,0,1,209,29,7,3,0,0,0,0,248,0.15,97,77,303,188,61,149,876,1,415,0.24,1337,0.76,1752,0,286,1,41,78,406,4.3,0,5.8,7.2,2,1.3,0.9,0.1,43.83,-4.77,39.06,0.11
CUNDINAMARCA,25,TABIO,25785,1292,0,0,1,333,63,30,14,2,1,1,0,444,0.21,952,406,865,521,587,29,2717,17,973,0.16,5121,0.84,6094,0,252,0,243,737,1233,4.9,0,10.6,28.7,8,4,4,0.09,85.28,-8.18,77.1,0.1
CUNDINAMARCA,25,TAUSA,25793,5513,3059,0,1,562,133,36,17,4,1,0,0,753,0.22,736,940,955,754,1092,461,2918,71,2226,0.28,5701,0.72,7927,0,3121,0,3,14,3139,2.5,0,196.5,22.1,9,5,4.4,0.02,254.69,-116.61,138.08,0.46
CUNDINAMARCA,25,TENA,25797,1616,0,0,1,176,40,19,6,0,0,0,0,241,0.24,232,271,409,524,217,165,659,67,1027,0.4,1517,0.6,2544,398,22,387,12,267,1087,2.3,0,5.9,16.6,9,1.5,7.7,0.05,44.41,-4.94,39.47,0.11
CUNDINAMARCA,25,TENJO,25799,0,0,0,0,445,124,67,51,35,3,0,0,725,0.26,2611,518,2746,462,2542,285,7873,178,1443,0.08,15772,0.92,17215,0,1373,19,1479,483,3353,5.1,0,39.1,20.7,25,11.9,13.5,0.16,228.05,-24.66,203.39,0.11
CUNDINAMARCA,25,TIBACUY,25805,2702,0,0,1,199,69,22,11,1,0,0,0,302,0.3,276,331,341,581,464,491,881,101,1504,0.43,1962,0.57,3466,874,51,335,131,23,1414,2.5,0,4.1,9.9,7,2.1,5.1,0.11,27.93,-4.49,23.44,0.16
CUNDINAMARCA,25,TIBIRITA,25807,2156,0.3,0,1,211,34,4,2,0,0,0,0,251,0.15,160,196,223,143,232,146,420,36,521,0.33,1035,0.67,1556,188,343,77,52,18,678,2.3,0,6.6,4.8,2,0.9,1,0.07,17.61,-5.26,12.35,0.3
CUNDINAMARCA,25,TOCAIMA,25815,4244,0,0,1,83,73,45,26,20,4,0,0,251,0.47,297,372,549,1033,1170,4130,2175,481,6016,0.59,4191,0.41,10207,153,148,530,860,22,1713,6,0,12,15.8,18,6.5,11.5,0.17,72.11,-8.67,63.44,0.12
CUNDINAMARCA,25,TOCANCIPA,25817,0,0,0,0,159,28,10,13,9,6,1,0,226,0.17,1078,205,1194,156,783,119,3086,8,488,0.07,6141,0.93,6629,0,63,20,72,541,697,9.5,0,1.2,33.5,14,4.6,9.3,0.1,574.7,-3.19,571.51,0.01
CUNDINAMARCA,25,TOPAIPI,25823,4606,0,0,1,155,86,24,9,1,0,0,0,275,0.4,364,446,505,480,438,715,1449,215,1856,0.4,2756,0.6,4612,1349,301,700,325,112,2786,1.7,0,13.4,7.4,6,2.9,2.8,0.12,33.3,-9.3,24,0.28
CUNDINAMARCA,25,UBALA,25839,17842,51,0,1,1158,312,105,46,8,1,0,0,1630,0.26,1222,993,1167,878,1345,978,2678,496,3345,0.34,6412,0.66,9757,1392,453,52,504,476,2877,3.4,1,1.3,24,56,5.7,50.5,0.07,343.49,-3.15,340.34,0.01
CUNDINAMARCA,25,UBAQUE,25841,1585,268,0,1,558,83,22,2,0,0,0,0,665,0.16,434,560,735,639,293,163,1505,29,1391,0.32,2967,0.68,4358,84,721,12,312,287,1416,3.1,1,69.7,11.3,16,2.7,13,0.03,107.31,-42.41,64.9,0.4
CUNDINAMARCA,25,UNE,25845,4782,6738,0,1,265,99,37,10,2,0,0,0,413,0.33,391,392,556,992,408,985,1325,207,2576,0.49,2680,0.51,5256,1,827,162,677,137,1804,2.9,0,92.7,9.2,6,3.2,2.5,0.03,120.72,-55.69,65.03,0.46
CUNDINAMARCA,25,UTICA,25851,1339,0,0,1,37,39,43,11,6,1,0,0,137,0.6,299,320,545,1523,568,478,1124,132,2453,0.49,2536,0.51,4989,3182,12,12,0,0,3205,1.6,0,0.1,8.9,6,3,2.7,0.26,28.41,-1.53,26.88,0.05
CUNDINAMARCA,25,VENECIA,25506,1764,0,0,1,139,46,8,5,0,0,0,0,198,0.27,199,188,307,351,150,223,694,4,766,0.36,1350,0.64,2116,412,84,476,200,79,1251,1.7,0,3.3,7.5,12,1.3,10.6,0.06,28.22,-3.46,24.76,0.12
CUNDINAMARCA,25,VERGARA,25862,5511,0,0,1,214,83,30,6,2,0,0,0,335,0.34,179,317,476,632,726,867,866,119,1935,0.46,2247,0.54,4182,3666,295,163,159,76,4359,1,0,7.8,12.3,4,2.5,1.4,0.12,52.6,-5.98,46.62,0.11
CUNDINAMARCA,25,VIANI,25867,2283,0,0,1,197,49,11,2,0,0,0,0,259,0.23,252,256,301,236,70,130,839,69,691,0.32,1462,0.68,2153,1647,215,945,330,183,3320,0.6,0,0.8,5.6,3,1.4,1.5,0.17,14.99,-1.85,13.15,0.12
CUNDINAMARCA,25,VILLA DE SAN DIEGO DE  UBATE,25843,1825,3,0,1,839,214,63,25,8,5,1,0,1155,0.24,1701,302,2727,482,1532,279,9029,35,1098,0.07,14989,0.93,16087,8,1006,13,105,172,1304,12.3,0,13.8,26.9,17,12.5,4.8,0.27,125.22,-9.87,115.35,0.08
CUNDINAMARCA,25,VILLAGOMEZ,25871,631,0,0,1,84,38,14,2,0,0,0,0,138,0.38,157,176,192,152,271,285,497,109,722,0.39,1117,0.61,1839,667,228,46,296,210,1446,1.3,0,0.9,3,3,1.1,1.6,0.2,9.56,-1.91,7.65,0.2
CUNDINAMARCA,25,VILLAPINZON,25873,2103,86,0,1,934,373,72,24,8,0,0,0,1411,0.32,1697,1201,1843,656,1618,432,8532,261,2550,0.16,13690,0.84,16240,0,3385,12,244,163,3804,4.3,0,258.5,24.6,14,11.8,2.4,0.04,330.51,-152.79,177.71,0.46
CUNDINAMARCA,25,VILLETA,25875,6184,0,0,1,116,41,17,15,3,0,0,0,192,0.3,352,276,437,653,484,369,782,86,1384,0.4,2055,0.6,3439,3805,33,71,160,8,4076,0.8,0,4.2,21.7,12,2,10,0.06,102.56,-3.99,98.57,0.04
CUNDINAMARCA,25,VIOTA,25878,7101,0,0,1,193,96,42,11,4,0,0,0,346,0.4,388,571,663,562,599,815,1637,688,2636,0.45,3287,0.55,5923,3894,841,2858,2260,186,10039,0.6,0,44.5,17.9,9,3.7,5.2,0.05,91.34,-27.52,63.82,0.3
CUNDINAMARCA,25,YACOPI,25885,41862,0,0,1,447,509,223,102,59,10,3,1,1354,0.54,6455,6396,6696,5488,11146,1461,27396,16907,30252,0.37,51693,0.63,81945,5080,2418,189,2660,275,10622,7.7,1,18.7,25.4,48.9,55,-6.1,1.45,117.18,-15.08,102.1,0.13
CUNDINAMARCA,25,ZIPACON,25898,3059,0,0,1,157,34,15,10,5,2,0,0,223,0.22,667,412,399,214,1241,122,2693,1106,1854,0.27,5000,0.73,6854,124,322,38,236,297,1016,6.7,0,6.1,8,6,4.8,1.3,0.31,27.69,-5,22.69,0.18
CUNDINAMARCA,25,ZIPAQUIRA,25899,4277,0,0,1,554,189,98,42,27,7,0,0,917,0.31,2921,980,2652,692,8412,148,16808,2503,4323,0.12,30793,0.88,35116,0,2255,10,199,1631,4095,8.6,0,55.3,29.5,22.7,26.4,-3.6,0.32,353.6,-38.2,315.39,0.11
DISTRITO CAPITAL,11,"BOGOTA,D.C.",11001,17632,64919,0,1,739,463,186,50,19,6,0,0,1463,0.44,3193,2858,3689,3017,1771,1491,9833,7873,15239,0.45,18486,0.55,33725,0,1638,2194,238,3228,7299,4.6,1,15.2,,23.7,21.6,2.1,1.25,10568.54,-15.26,10553.29,0
META,50,ACACIAS,50006,3539,3958,3650,1,185,229,178,135,107,27,18,6,885,0.46,5983,5727,6136,8690,6750,13235,19638,4600,32252,0.46,38507,0.54,70759,28567,174,106,664,397,29908,2.4,1,247.2,26.2,68,43.7,24.4,0.15,742.31,-72.7,669.62,0.1
META,50,BARRANCA DE UPIA,50110,1497,1573,1716,1,14,18,27,31,21,11,9,2,133,0.34,2016,1628,1833,3240,1981,3481,6553,2009,10358,0.46,12383,0.54,22741,9415,771,487,84,126,10883,2.1,0,141.5,3.8,23,14.3,8.8,0.09,181.68,-42.96,138.72,0.24
META,50,CABUYARO,50124,0,3328,1993,1,23,28,26,39,45,32,17,15,225,0.24,5147,4630,5970,6140,4950,8804,17551,4408,23982,0.42,33618,0.58,57600,14829,901,877,11101,1900,29608,1.9,1,228.2,9.7,50,36.4,13.9,0.14,351.72,-68.49,283.23,0.19
META,50,CASTILLA LA NUEVA,50150,0,2413,0,0,60,95,71,66,67,36,8,4,407,0.41,4123,3687,5339,5789,5311,6841,13962,3196,19513,0.4,28735,0.6,48248,6542,1941,594,6801,932,16810,2.9,0,158.9,18.8,48,30.2,18,0.15,469.01,-46.76,422.25,0.1
META,50,CUBARRAL,50223,1844,1640,9818,1,50,53,58,40,23,8,4,0,236,0.47,1190,1210,1662,2060,1698,3140,4920,320,6730,0.42,9470,0.58,16200,442,543,218,215,440,1860,8.7,1,5.9,15.9,13,10.3,2.4,0.43,42.32,-1.77,40.55,0.04
META,50,CUMARAL,50226,1675,4977,0,1,65,105,86,87,92,41,14,3,493,0.39,4135,4025,5176,6840,5469,10158,15103,7339,28362,0.49,29883,0.51,58245,8238,830,331,4982,1040,15420,3.8,0,141,15.3,49,36.8,12.3,0.22,235.5,-42.23,193.27,0.18
META,50,EL CALVARIO,50245,0,0,0,0,82,66,16,3,0,0,0,0,167,0.49,386,401,449,650,339,289,942,79,1419,0.4,2116,0.6,3535,235,401,61,1096,2371,4165,0.8,0,4.1,20.2,2,2,0,0.08,29.42,-1.21,28.21,0.04
META,50,EL CASTILLO,50251,11857,2317,0,1,31,84,106,95,65,12,0,1,394,0.48,2320,2291,2720,3944,3260,8019,7124,1322,15576,0.5,15424,0.5,31000,758,4752,638,3705,2831,12685,2.4,0,20.3,23.4,28,18.6,9.2,0.35,80.75,-6.12,74.64,0.08
META,50,EL DORADO,50270,2028,899,43,1,36,36,33,45,16,3,1,0,170,0.41,697,777,669,1286,1189,2402,2403,177,4642,0.48,4958,0.52,9600,527,1048,839,2762,535,5712,1.7,0,3.4,3.7,11,5.8,5.7,0.45,23.2,-1.08,22.12,0.05
META,50,FUENTE DE ORO,50287,0,4549,0,0,38,56,66,57,66,20,7,0,310,0.39,2760,2800,3000,2950,3290,5000,9700,1500,12250,0.4,18750,0.6,31000,5382,5214,1850,8612,2441,23498,1.3,0,188.2,52.6,37,19.4,18,0.07,296.79,-212.05,84.74,0.71
META,50,GRANADA,50313,0,3035,0,0,94,87,85,59,45,8,1,1,380,0.45,1790,1650,1660,1790,2060,2790,5880,880,7110,0.38,11390,0.62,18500,2387,7184,1983,7136,934,19625,0.9,0,73.7,40.6,4.9,11.6,-6.7,0.11,204.54,-25.29,179.25,0.12
META,50,GUAMAL,50318,378,1946,1260,1,165,139,106,57,30,1,1,0,499,0.49,1519,1545,1674,2112,1879,1751,4781,1739,7147,0.42,9853,0.58,17000,1274,41,112,12,56,1495,11.4,0,1.7,7.6,31,10.5,20.2,0.36,82.02,-1.31,80.7,0.02
META,50,LA-MACARENA,50350,18445,41972,109154,1,18,50,127,145,124,22,6,1,493,0.36,8058,7523,8425,8436,10241,12580,25856,3774,32313,0.38,52580,0.62,84893,2563,18860,259,1783,3740,27205,3.1,0,6.3,5072,25,52.5,-27.5,0.01,5143.57,-1.95,5141.62,0
META,50,LEJANIAS,50400,8141,1537,0,1,49,75,94,75,30,2,0,0,325,0.52,1610,1580,1450,1450,1520,3140,4850,900,7070,0.43,9430,0.57,16500,1311,1352,3420,3747,409,10239,1.6,0,46,96.4,20,10.1,9.5,0.07,175.41,-13.61,161.81,0.08
META,50,MAPIRIPAN,50325,353,158906,105383,1,12,54,97,122,108,45,15,4,457,0.33,7010,6120,7670,7440,8920,7780,25370,2690,24030,0.33,48970,0.67,73000,7442,7310,9,9407,2472,26640,2.7,0,28.7,1881.7,54,46.8,6.9,0.02,1985.24,-8.62,1976.62,0
META,50,MESETAS,50330,80817,5569,2628,1,54,130,236,207,140,32,5,0,804,0.46,5410,5470,7460,7300,8460,11990,17950,3960,28720,0.42,39280,0.58,68000,1223,2008,188,263,856,4538,15,0,12.2,466.4,53,41.7,11.6,0.09,547.83,-3.8,544.03,0.01
META,50,PUERTO CONCORDIA,50450,0,10066,7336,1,25,71,88,83,72,20,9,0,368,0.43,3600,2970,4200,4900,4470,5770,12820,1770,15410,0.38,25090,0.62,40500,4749,7231,883,589,2121,15573,2.6,0,52.1,822.5,37,25.8,11.5,0.03,937.31,-22.56,914.75,0.02
META,50,PUERTO-GAITAN,50568,29192,233534,202087,1,21,62,90,100,155,88,45,29,590,0.26,13011,12410,18807,11986,16461,10997,59649,7679,43072,0.29,107928,0.71,151000,50920,22889,1482,15346,8103,98741,1.5,0,131.6,231.5,161,101.8,59.1,0.24,1499.87,-103.61,1396.26,0.07
META,50,PUERTO-LLERAS,50577,0,26195,11826,1,35,78,149,173,191,75,24,10,735,0.31,9680,8500,12810,12600,12700,16220,36200,6290,43610,0.38,71390,0.62,115000,6147,3951,1767,3762,2296,17924,6.4,0,90.6,448.3,107,73.5,33.3,0.13,660.86,-28.97,631.89,0.04
